code,name,time,price,volume,preprice,type
002196,方正电机,09:32:51,5.13,66000,5.1,买盘
002196,方正电机,09:32:42,5.07,77700,5.09,卖盘
002196,方正电机,09:32:18,5.07,29500,5.1,买盘
002196,方正电机,09:32:15,5.1,67400,5.07,买盘
002196,方正电机,09:31:54,5.08,89600,5.06,买盘
002196,方正电机,09:31:51,5.06,31000,5.07,卖盘
002196,方正电机,09:31:48,5.07,54400,5.06,买盘
002196,方正电机,09:31:36,5.05,43400,5.05,买盘
002196,方正电机,09:31:21,5.08,71600,5.07,买盘
002196,方正电机,09:31:18,5.07,29600,5.05,买盘
002196,方正电机,09:30:45,5.08,40800,5.04,买盘
002196,方正电机,09:30:09,4.98,75100,4.96,买盘
002196,方正电机,09:30:06,4.96,28800,4.96,买盘
002196,方正电机,09:30:03,4.96,205500,5.01,卖盘
002196,方正电机,09:30:00,5.01,220300,4.97,买盘
002196,方正电机,09:25:00,4.97,192900,0.0,卖盘
